"SAQ01","SAQ02","SAQ03","SAQ04","SAQ05","SAQ06","SAQ07"
"The leaves fell and he got his servant to brew them in water.","Matcha was made by grounding down the tea leaves into a powder.","Porcelain, silk, and tea gave China significant power and economic influence.","China ceded Hong Kong to the British after the Opium Wars","The clipper ship was created to win the trade war and allow the East India Shipping company to transport tea. Tea had become so popular that they wanted to have the fastest shipping method and beat any competition.","Tea was introduced to Japan by monks who had visited China and took tea back to Japan","I cannot recall her exact significance.  I have a memory of her being mentioned in the first video, so as a guess, she brought tea to Europe."
"he came across it in the forest and tried it","from a plant mixed with the tea plant","shipping, tea,","im not sure","transporting tea in it","unsure","bringing tea to the UK"
"When a wild tea leaf fell into his pot of boiling water.","Shading tea plants before harvest to boost chlorophyll, then steaming, drying and removing stems from leaves to create tencha.","Not sure","Not sure","Can't remember","By Buddhist monks","Popularized tea drinking in Britain"
"He stumbled upon it while collecting herbs. ","The leaves were boiled and mixed with some kind of powder then pressed into cakes. ","Porcelain, tea and opium","It was part of the settlement of the Opium wars and gave them a port. ","The need to get the tea to Europe while it was fresh, without stopping on the way. ","Can't remember, would have to guess. ","Making tea drinking fashionable among the upper classes. "
"I cant remember ","Matcha was made by growing tea leaves, then steaming, drying, and removing something. The leaves would then produce a green powder that is whisked with hot water to drink.","I don't remember ","It lost the opium war and was forced to give it up. ","competition, having the fastest ship meant getting two trade places quickly and beating the competition. ","I don't remember  ","I don't remember  "
"He was poisoned by accident and then a tea leaf blew into his mouth and cured him.","A cake comprised of tea leaves was put in a pot with hot water and honey.","Tea, silk and gunpowder","To end the opium wars.","The need to transport tea quickly.","It spread from China","Don't know."
"he chewed on the leaf and it healed his poisoning","It was made by grinding the tea leaves up into powder","Tea, silk, porcelain?","To chill the war out?","For the dutch taking tea to europe?","Monks?","Making tea popular with the brits"
"According to the video, the legend states that Shennong discovered tea when he was searching for grains and herbs then he got poisioned by some leaves then he ate the tea leaves and didn't die. ","Matcha was first made by drying the tea leaves and moulding them into cake form and then grinding to powder to make the tea. Then it evolved later to just steaming, drying, removing the stems, and grinding into fine green powder. ","Tea, Porcelain, and Silk","This was as a result of the defeat in the first Opium war. It was part of an unequal treaty after China lost the war tied to trade disputes , especially over Opium. ","it was the intense commercial competieion and race for speed import and exportation of tea in global trade that led to the creation.","Tea was introduced into Japan through the buddhist monk travelling to China","She was creditied with popularizing tea drinking in England in the 1660s"
"he was poisoned because of something he ate and therefore he tried the leaves and was cured","when tea leaves were made as powder form ","tea, silk and porcelain ","Because of the conflict","To deliver tea to europe as soon as possible and to compete with other careers of tea","An emperor came to china and took tea tree with him back to japan","introducing  tea to english people"
"tea leaves fell into some water","it was made from coffee","tea, silk, rice","as compensation for stop selling opium into China","the Cutty Sark","as a cake","introducing tea to England"
"he chewed on a leaf","with a cake of leaves that was crumbled into hot water","tea, silk, porcelain","they gave it after the first opium war so Britain had a permanent trading base","to bring tea from India at speed","monks","she introduced tea to the English market"
"It was accidental.","By turning tea leaves into powder.","Tea","because they were defeated.","The need for a faster ship.","I am no longer sure","I am no longer sure."
"He saw it growing and tasted it","It was crushed tea leaves made into little cakes","porcelain tea and silk","They gave away territory to the British in return for silver","Tea became very profitable and was hugely in demand. Fast ships were needed to get the product to Europe","it was distributed from China","Making tea with boiling water"
"I cannot remember how he found it, but I think he used it to cure an illness he had.","It was made using the tea cakes dissolved in water","silk, tea, and wood","I cannot remember","I genuinely cannot remember...I feel like it was to improve deliveries?","By boat from China","I'm sorry I cannot remember"
"he was bitten by snakes/a snake 72 times and he used tea as a form of medication that cured the bites","the tea leaves were dried to preserve them, and hot water was added before use","tea, silk and porcelain","to stop the distribution of opium?","to speed up the transport of tea from China to Europe","Tea plants were taken to Japan as part of an agreement?","introducing tea to Europe "
"He ate 72 poisoned herbs ","It is harvested off the bush and then dried and ground into a fine dust","Tea, Silk and gunpowder","To pay off it's debts and stop the British selling opium to the Chinese","The fight to get tea back to Europe as quick as possible","It was traded with them from China","Bringing tea to ENgland"
"He ate some poisonous fruits and kept eating leaves to get better","tea leaves were blended into cake and then powder and mixed with hot water","tea, porcelain, cotton","British won the opium war against china","everyone wanted their tea to get to the destination faster","in cake form","for bringing tea into europe"
"A tea leaf fell into his hot water and he realised it made him feel better","Matcha was made by growing tea leaves in the shade and then ground","Tea, Textiles, china crockery","Because they wanted to restore national dignity","They were created to meet demands for carrying cargo including tea","Tea was introduced by buddhists","she introduced tea drinking in England"
"Shennong ate a number of poisonous plants and berries while in the forest and then ate tea leaves which saved his life.","Matcha was made by pouring water on cakes of tea leaves and whisking.","China's three essential export goods were silk, tea and porcelain.","It lost the opium wars. ","The colonisers trying to beat each other to and from china to acquire and sell tea.","As a concession of the war by China. It was still eaten as a plant.","Introducing the use of tea leaves and the drink of tea to England."
"leaves accidentally blew into his pot of hot water","leaves are dried and ground into a powder","Silk, porcelain and tea","This was due to the opium wars","The clipper ship was introduced to transport tea to Europe as quickly as possible from India.","Tea was introduced to Japan by Monks from China","She popularised drinking tea."
"he saw a ghost","by boiling in milk","tea, opium, and silk","because they lost the opium was, Hong Kong was a concession to resume trading ","the need to be the first to market by having the fastest sailboat","it was smuggled in by the british","making tea more commonplace"
"he knocked over hot water","leaves were ground into a fine powder ","Silk, porcelain, tea","Not sure","faster transport of high valued goods","Not sure","drinking tea in england"
"by trying different plants and being poisoned over 70 times when a leaf floated down and into his mouth healing him ","drying and compressing leaves into a block then adding water","tea","as a result of the opium wars","the desire of merchants to import tea quicker than their rivals ","it was taken there by monks","making tea popular in Europe "
"I cannot recall","The tea leaves were ground into a powder and consumed with hot water","tea, porcelain and cotton","Because of pressure placed on them by the British, they were attacked - something about opium...","I do not recall","Something about coffee?","I do not recall"
"by being poisoned","by finely grinding tea leaves and mixing with milk","tea, cotton and rice","due to the wars","wanting faster imports","by importing from China","drinking tea at her wedding"
"he poisioned himself and found that tea reversed that poisioning,","they shade the tea before hand to stop sunlight hindering the process of that matacha making","tea, silk and porcelian","as they wanted to trade items i think? i believe they wanted something in return for trading tea??","for the demand of tea products and consuming","in a ceremony/ritual ","queen catherine of bragnaza was credited for her influence on british tea drinkng in the 1600 and how she enjoyed that"
"leaves blew in the water","i can't remember","tea ceramics ","something to do with opium i think","to transport tea","by a monk","drinking tea"
"he was boiling water under a tree and some wild  tea leaves fell into his pot","it is made by taking shade grown tea leaves steaming and drying them to produce tencha and then removing stems and veins before grinding the leaves into fine powder.","silk, tea, porcelain","It was defeated in the first opium war","The demand for speed in international trade.","It was buddhist monks returning from study in China who introduced tea to Japan","She popularized tea drinking in England"
"can not remember","it was ground down into a powder and then mixed with water ","porcelain,
tea and silk","As part of the settlement after the opium war between Britain and China","To enable the merchant to get his tea to England in the shortage possible time and thereby first to the market to then maintain a high price.","It was ground down to a powder and used this way","With making tea really popular within the United Kingdom "
"The wind blew the tea leafs into boiling water","Steaming tea leaves","tea, leafs","They had subsequent losses in the second opium war","Maximising profits for naval ships","Buddhist Monks brought back tea seeds and tea leafs","She popularised the custom of drinking tea in England"
"He picked it and ate it in a salad to begin with and discovered it could be good.","It was ground down leaves, which were then pressed and mixed with hot water to drink.","Silk, tea and copper","Something related to the production of tea.","The growing demand for tea within Europe.","In the form of loose tea leaves","I can't remember at all"
"a tea leaf floated down and landed in his mouth after he had been poisoned 75 times","I can't remember","tea, porcelain, opium","not sure","get tea shipped around the world","not sure","bringing opium?"
"He poisoned himself eating something in the forest. As he lay dying, a tea leaf fell into his mouth and he was revived","the tea leaves were soaked in water, formed into bricks, dried out and then ground up into powder","tea, silk, ceramics","To stop the the British from bringing opium into China along the Eastern coast","The East India Tea company racing against other European countries to export tea from the East to Europe as quickly as possible","don't remember","bringing tea to England"
"When leaves from a wild tea plant accidentally fell into the pot of boiling water he was using while testing plants in the forest. He tasted it and found it medicinal.","Matcha wa made by shading tea plants, picking the young leaves, steaming and drying them, removing stems, and grinding the leaves into a powder.","tea","After losing the first opium war against china","It was developed to transport goods faster, especially tea from China to United Kingdom. The competition to deliver fresh tea quickly led to faster ship designs. Clippers were the fastest sailing vessels at that time.","Tea was introduced to Japan by buddhist who travelled to China. They brought back tea seeds and the practice of drinking tea, where it was first used mainly","popularising tea drinking in England"
"Its mythical - but he would try various herbs and spices frequently. Tea leaves managed to get into boiled water he had and he enjoyed the flavours.","Matcha is a result of the tea leaves being ground into a fine powder and drank unlike the leaves would be discarded. More intesnse flavour ","silk, opium, tea","They were coerced by the military due to opium wars, they did not choose to.","It was created to ensure speed for global trade demands. Was the fastest sailing to ensure prompt goods moveable","bhuddist munks returned from travelling to China and introduced tea","She made drinking tea popular. It was uncommon in England beforehand."
"I can't remember","Grinding tea leaves","Tea - not sure of the other two.","Can't remember","The need to increase the speed of transporting goods.","Through travel","Popularising tea consumption"
"I believe it was by accident when tea leaves blew into a pot of boiling water","Green Tea leaves were steamed, dried and then ground and pressed into cakes of fine powder","Tea, silk and porcelain","As a concession at the end of the first opium war","To meet the demand for fast transport to move valuable and perishable cargo quickly around the world","It was introduced by Buddhist monks who brought it back from China","She is credited with making tea drinking popular in England."
"tea leaves blew into his mouth and he chewed them","tea leaves were crushed into fine powder and fermented into a drink","Silk, tea and porcelain","deal involving oil","To transport tea to other parts of the world as fast as possible for trade.","brought back when warring with China","No idea"
"He ate a plant that poisoned him, and then a tea leaf drifted into his mouth and cured him","It was soaked, compressed, dried and then grinded into powder.","Tea, opium and unknown","I don't know ","The increasing demand for tea shipments to the Western world","It was taken there by the Chinese, which caused the Japanese to create their own cultures and traditions around matcha.","I don't know"
"He was poisoned and by eating the leaf of the tea plant recovered","Can't remember","Silk, porcelain, tea","At the conclusion of the Opium Wars to get Britain to allow trading of tea again","The need to export tea due to its popularity","By Chinese traders","Made tea a popular drink in England"
"I don't remember","from the fresh tea leaves.","tea, silk","I don't remember","tea trades","as food first.","Spreading the tea across UK"
"he noticed that tea leaves are a cure for poisoning","was made from tea powder","silk, tea, porcelain","it was after war","I don't know","Chinese people gave it tea as a gift","I don't remember :("
"By adding it to boiling water","By grinding tea and boiling it","Tea, Coffee, Opium","Because of the Opium wars","Trying to get tea back the fastest to take advantage of its popularity","By the British","Drinking tea"
"did it fall into his meal?","a dried block of teas leaves was powdered, then added to water and whisked with a bamboo whisk","porcelain, silk, and tea","I think this was about access to shipping routes","the rush to be the first to bring tea to Europe","I don't remember","I don't remember"
"I don't remember","I don't remember","Tea, silk, opium","Defeat in the opium wars","Trying to reduce the time needed to travel trade routes","A monk brought back seeds from their travels after tasting it","Making tea popular in Britain"
"When tea leaves dropped into his boiling water. ","Grinding leaves into a powder and mixed with water into a drink. ","tea, silk and china","Loss in the opium wars","To be the first to deliver worldwide of all the countries. ","From China. ","Can't remember. "
"I don't remember","Tea leaves were dried and then ground down into a powder which was then compressed into round cakes before being stewed in hot water","Silks, tea and pottery china","So that they could still trade tea out of China","The need to race across the ocean to sell the tea in Europe","They ate the leaves","I can't remember"
"He poisoned himself, then tea leaves blew into his mouth and revived him.","Tea leaves boiled, dried, then crushed into a powder.","Tea, silk, ceramics","Because they lost the Opium war","The drive to get tea transported across to Europe.","Can't remember.","Popularising tea-drinking in Britain"
"he was poisoned as use tea as as a cure","grinding of leaves","silk, tea, ","they were defeated? Not too sure ","as countries wanted to get hands on tea the quickest","matcha, can't remember","introducing popularity of tea drinking to england"
"He came across it ","Formed into balls","Porcelain, tea, silk","Tea wars","The need to deliver tea quickly to the west  to get sales","The tea plants were smuggled in?","Bringing tea to the english upper classes"
"unsure.","growing tea leaves, steaming them and then grinding them into a powder.","I'm unsure - possibly clothing as one.","Unsure. ","Sorry I can't remember this answer.","cannot remember this detail.","Sorry I do not know. "
"He ate a leaf and it treated his poison, it then led to tea","it was made by mixing a powder and mixing it with tea","Tea","I am unsure ","to speed up delivery due to competition","I am unsure","Making tea popular in britain"
"the leaves fell into his mouth","leaves ground up and mixed with water","tea, spices, silk","not sure. ","to speed up the distribution of tea.","not sure. ","bringing tea to England"
"He kept trying ones over and over again until he found it","By boiling the tea cakes and then letting it cool","silk, tea, medicine","There was a war that Britain won and one thing was they also got Hong Kong","To bring tea to Europe in the fastest way. The business with the fastest ship could get to more customers first, therefore selling more and making more profit.","As a drink using tea cakes","She drank tea and introduced the King and the British public to tea so she helped to make it popular in Britain. "
"He discovered it in the forest and heated it up to make a drink.","tea ground into loose tea and heated with water.  It was frothy.","porcelain, tea and silk","For financial reasons","To transport tea to other countries","Brought by ships.  Tea was ground and heated with water.","Introducing tea to England and Great Britain."
"leaves accidentally blew into his hot water and he drank it","grinding up leaves","silk, tea and porcelain","they lost the 1st opium war","to transport tea from china to britain","by buddhist monks","she made tea fashionable"
"He found that is had mythical properties using his special sight. ","I honestly cannot remember, but does it involve crushing the leaves into a powder?","Tea, textiles, garments","As part of a treaty during the Opium War","It was used to speed up trading","Through trade with China","Popularising the drinking of tea in England"
"A tea leaf fell into his mouth by chance and saved him from the intoxicating substances he had in his body","tea leaves were essicated and then grinded into a fine powder to be mixed with hot water","silk, porcelain and tea","To ease the trade of tea","There was a necessity to have the fastest ships for quicker transport","Through Britain","Dont remember"
"He ate some tea","By grinding tea leaves into a powder and compressing into cakes.","Tea, silk, opium.","To stop them trading in opium.","The need to transport tea fastest to make the most money.","By a Japanese emperor
","Bringing tea to Britain"
"According to the legend, Shennong discovered tea when leaves from a wild tea plant accidentally blew into his pot of boiling water.
Curious about the aroma, he drank it—and found it refreshing and beneficial, leading to the discovery of tea.","Tea plants are shade-grown for a few weeks before harvest to boost chlorophyll and flavour.
The youngest leaves are hand-picked.
Leaves are steamed to stop oxidation, then dried.
Stems and veins are removed, leaving only the soft leaf material (called tencha).
The tencha is then stone-ground into a very fine powder, which becomes matcha.","silk,tea and porcelain","China ceded Hong Kong to the British after losing the First Opium War.
As part of the 1842 Treaty of Nanking, China was forced to hand over Hong Kong following defeat by Britain, largely due to conflicts over trade (especially the opium trade).","The clipper ship was developed because of the high demand for faster transport of tea from China to Europe.
Merchants wanted the freshest tea to arrive first, which led to intense competition (known as the “tea races”). This pushed shipbuilders to design faster vessels—resulting in the creation of the clipper ship.","Tea was introduced to Japan in the 9th century by Buddhist monks who brought it back from China.
They had travelled to China to study and returned with tea seeds and the practice of drinking tea, initially using it for religious and medicinal purposes in monasteries.","She is credited with popularising tea drinking in England.
When she married King Charles II, she brought the habit of drinking tea with her from Portugal, helping make it fashionable among the English court and upper classes."
"he consumed poison but was cured by yea","was it ground up leaves","tea but i dont remember what else","to avoid further conflict over ports","there was a race to be the first to get tea to the market so having the fastest ship meant you could be first and get the best price","it was taken on boats","Making it popular"
"A leaf dropped into his mouth","Bricks of tea were ground up and then hot water added and the mixture whisked","Porcelain, silk and tea","As a result of losing the first Opium war","The need to transport tea from India to the west rapidly","It was brought to Japan from china by a monk","Populising the drinking of tea in England"
"he kept getting poisoned by things he was eating but ate some tea leaves and was cured","by turning it into a powder and pressing into blocks","porcelain, silk, tea","they lost the opium wars","to get to ports faster","a monk took it back after visiting china","introducing tea"
"The found it while wondering in the wilderness","Matcha is made when tea leaves are ground down into a firm form.","Tea, Porcelain and spices","Hong Kong was ceded to Britain as a consequence of the opium wars, which china lost.","The trade war and search for profit. Traders who could bring goods to europe from asia the fastest stood to make the most profit.","It was brought by religion people from mainland china to japan.","She is credited for pushing for one of the first royal charters regarding companies in asia"
"He was poisoned and looking for an antidote in the forest and chewed the tea life and got better ","It was made by drying tea into cakes, then grinding them into a powder","Ceramic pottery, Silk and Tea","It lost naval battles along the coastline","Competition for tea trading along ocean routes ","Via naval trading ","Introducing drinking tea to the western world "
"Goats?","The tea leaves were ground up and made into little round cakes. The hot water was then poured onto these and made the foamy drink which was matcha","Pottery, tea, silk","It was in return for ending the war with China.","Boats were needed to be fast to get the tea over as quicky as possible. ","It was brough over by an emporer. ","Making tea a new common drink in europe. "
"when leaves from a nearby plant accidentally fell into a pot of boiling water","steaming and drying tea leaves, then removing the stems","tea, silk, and porcelain.","after losing the First Opium War, with the territory formally handed over","to meet the demand for faster global trade, especially during the China tea trade and the California Gold Rush","by Buddhist monks, particularly Saicho","popularising tea drinking in England during the 1600s after marrying King Charles"
"by accident, while looking for edible herbs","by steaming leaves and then drying them","silk, porcelain, tea","they lost the first opium war","the need to have bigger and faster boats for exporting more goods","by monks coming back from China
","Making tea popular in the West"
"tea leaves fell into his tea pot
","with froth milk ","silk porcelain","because they were defeated during the opium wars
","to move tea to great britain quicker","buddheist monks
","making tea popular
"
"He chewed on leaves from the tea plant which acted as an antidote for clearing toxins from his system","Tea leaves were crushed and dried into cakes. Then the cakes were mixed with boiling water to make matcha","Silk, tea and spices","China lost the Opium wars","The need to ship tea from China/India as fast as possible back to Europe and around the world","By travelling monks","Introducing tea to the English"
"He discovered tea when leaves from a nearby plant blew into a pot of boiling water he was preparing, creating the first tea infusion.","Was doing well","Tea, silk, and porcelain.","China ceded Hong Kong to Britain after losing the First Opium War (1839–1842) and signing the Treaty of Nanking (1842), which required it to hand over Hong Kong as part of the peace terms.","The clipper ship was developed to speed up long-distance trade, especially the highly profitable tea trade between China and Europe/America, where faster delivery meant higher profits and fresher cargo.","Tea was introduced to Japan in the 9th century by Buddhist monks who brought it back from China after traveling there to study.","She is credited with popularizing tea drinking in England’s royal court and making it fashionable among the British elite."
"when a tea leaf fell onto his head ","It was crushed and put into a cake and hot water was poured over it ","pottery, tea and silk ","Because they lost the war due not liking the trade agreements made in britain favour ","To transport tea to beat the competition and to generate more profit","imported from china ","By bringing tea to britain "
"I cant remember","I cant remember","not sure, cant remember","I don't know","The boat was built due to the demand for tea across the world","I cant remember","Making tea a popular drink"
"He was poisoned and found a leaf that cured him.","Don't know.","Don't know.","Because of opium wars.","It was born out of competition for the fastest ship to get tea from China.","Don't know.","Made tea popular."
"I know it's not this but surely by accident. ","grind it up & boil it?","Silk, tea and I don't recall the third.","They lost the opium war.","New technology, again I vaguely remember something beyond new tech but nothing is coming to me.","I can't remember at all. I'm gonna guess by boat. Let's reason this out and say there was trade between the two nations at the time and some trader got involved.","Pass, I've vaguely heard of her before but nothing is springing to mind."
"he was tasting many different types of teas and then came across this one","through grounding fresh green tea","tea, spices, fish","no idea","n/a","dont know","supporting women"
"it blew into his mouth and saved him after he ate something poisonous","the leaves are dried, crushed then steeped in hot water","tea silk pottery","because the British were attacking them because they refused to trade tea for opium as the Chinese population became addicted and suffering","a race to bring tea to the western world fastest","a plant was taken over by a monk","bringing tea drinking to English culture "
"I really cannot remember, sorry!!","Hot water was poured over the powder and whisked gently to create the tea...","Silk, Tea and Porcelain","As part of the peace settlement to end the Opium Wars, it was one of the concessions that China made to the British. Hong Kong was strategically located.","It was to get the tea from China and bring it back to Europe as quickly as possible in order to get it to the market quickly.  Whoever could get to market first would make more money.","Gosh, I can't remember - someone travelled to Japan with the tea.","Making tea drinking popular in England."
"Shennong was visited by a divine spirit in the form of a monkey. The visitation was followed by the miraculous growth of a tea plant.","Tea leaves are dried over a long process before being rolled and crushed to produce a tea powder. It was easier to export powdered tea in tea chests without the concerns of fresh tea products becoming inferior while being transported.","Tea was the major export giving China significant influence around the world. Silk and porcelain were also influential export goods boosting the economy and giving power to China. The silk road is a very ancient trading route through Europe and the middle east to China.","Hong Kong was ceded to the British because of the opium wars and pressure from Britain through aggression. Britain was aware of how important Hong Kong was as a port and to enable continued trading around the world.","The clipper ship was created to transport tea to Europe's great ports speedily across the oceans. The fast clippers enabled more financial success and fresher tea through speedy delivery.","Tea was introduced to Japan in a powder format. Japanese culture has an whole ceremony to the drinking of tea.","Queen Catherine was credited with popularizing the drinking of tea in England. She was influential in promoting the drinks health benefits and the culture of tea drinking that we see so prevalent in British culture to this day."
"A leaf landed in his mouth.","Making the leaves of the plant into a powder.","Tea","As part of an agreement regarding the export of tea.","The increased demand for tea in Europe.","Don't remember","Making the drinking of tea popular in England."
"Shennong poisoned himself, and searched for a cure by eating lots of different plants. When he can across a tea plant and ate it this provided a remedy to the poison.","Match is made by first heating the tea leaves, then pressing them into cakes, then breaking these down into a powder. A drink is then made from this by steaping the powder in hot water.","Silk, porcelain and tea.","As part of the agreement in the tea trade, Hong Kong was a concession made the Britain in order that they do not continue the Opium War.","The ship was created for speed so as to give its owners an advantage in the tea trade. It meant that they could ship the tea more efficiently.","It was introduced from china in loose leaf, and the fashion in Japan became to heat it, press it into blocks and then make a powder from it called matcha,e a tea drink when mixed with hot water.","Making tea a fashionalable drink, the type that is loose lef tea steaped in hot water."
"It fell from a tree","By crushing tea leaves and mixing them with milk/water","tea, opium and tobacco ","because it was a strong port to be exporting goods into Europe","The need to be importing tea into Europe","through China","Starting the afternoon tea culture"
"unsure","tea made into a pate","tea, silk, fabric","Due to colonism","Transporting tea","from china","adding hot water and making it a hot beverage"
"Unsure ","Unsure","Boats","Opium trade","Unsure ","unsure","King Charles 2nd"
