StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Participant ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Timing_First Click,Timing_Last Click,Timing_Page Submit,Timing_Click Count,SC0,PROLIFIC_PID,RunningScore,QuestionCount
20/11/2025 10:23,20/11/2025 10:35,IP Address,100,732,TRUE,20/11/2025 10:36,R_8DSWkGXfGI9Go6Q,anonymous,EN,0.899999976,653bc92a11da9d70e7ad81c3,(a) iPSCs can differentiate into a wider variety of cell types than embryonic stem cells.,(d) It proves that skin cells and motor neurons share the same biological function.,(b) The interaction between motor neurons and other cell types contributing to the disease.,(a) Statements 1 and 2,(c) The inability to manufacture promising drug compounds on a large scale.,"(a) It would eliminate the need for clinical trials, reducing the timeline to under five years.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,"(c) To prove that all human diseases have a single, common genetic origin.",(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(d) They are unable to secure the necessary patents for new discoveries,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.",(d) It can perfectly reconstruct the damaged tissue after the disease has progressed.,(d) Confirm that all diseases are caused by multiple cell types.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,"(c) By creating a new, safer version of Vioxx using genetic engineering.",(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,10,,10,20
20/11/2025 10:08,20/11/2025 10:35,IP Address,100,1644,TRUE,20/11/2025 10:36,R_2VxQZp7taKe97oS,anonymous,EN,1,674377f77b539c33d343553c,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(d) The most effective surgical interventions for treating advanced MND symptoms.,(c) Statements 2 and 4,(b) The over-reliance on animal models that do not accurately predict human responses.,"(a) It would eliminate the need for clinical trials, reducing the timeline to under five years.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(d) To allow any person to have their own personal stem cell line for therapy.,(d) What is the ideal dosage for the average 70kg male patient?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,"(b) The process requires embryonic stem cells, which are ethically controversial.","(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,"(c) By creating a new, safer version of Vioxx using genetic engineering.",(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,13,,13,20
20/11/2025 10:20,20/11/2025 10:36,IP Address,100,923,TRUE,20/11/2025 10:36,R_2Ivc9sVKVi5kJCE,anonymous,EN,1,65bd88a029ae8413e1281c7b,,,,,,,,,,,,,,,,,,,,,0,0,900.695,0,0,,0,0
20/11/2025 10:26,20/11/2025 10:39,IP Address,100,795,TRUE,20/11/2025 10:39,R_2MLLj2JLmMBky0Z,anonymous,EN,1,5d8b66f5d189bd001a378273,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(d) The strict government regulations that prevent most new drugs from being approved.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(d) To allow any person to have their own personal stem cell line for therapy.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(d) Manually created cells cannot be differentiated into specific tissue types.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,17,,17,20
20/11/2025 10:19,20/11/2025 10:41,IP Address,100,1279,TRUE,20/11/2025 10:41,R_2E7eFEySmcg6PJf,anonymous,EN,1,59a3b1a35fd74b0001abf9c1,,,,,,,,,,,,,,,,,,,,,1250.204,1250.204,1252.074,1,0,,0,0
20/11/2025 10:27,20/11/2025 10:43,IP Address,100,997,TRUE,20/11/2025 10:43,R_2wigELnfv2TtMCi,anonymous,EN,1,5e19b24b2bf9512392d6dd90,,,,,,,,,,,,,,,,,,,,,0,0,905.21,0,0,,0,0
20/11/2025 10:19,20/11/2025 10:44,IP Address,100,1500,TRUE,20/11/2025 10:44,R_2Nxq6KJJ2vG2IXT,anonymous,EN,1,67665f7b0329bd3e30515ad2,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(c) Can this drug be manufactured cheaply and distributed globally?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,19,,19,20
20/11/2025 10:29,20/11/2025 10:45,IP Address,100,932,TRUE,20/11/2025 10:45,R_8SAmcXMNXYmcNNj,anonymous,EN,1,6695991a6db58bdcd2d1e388,,,,,,,,,,,,,,,,,,,,,0,0,915.98,0,0,,0,0
20/11/2025 10:28,20/11/2025 10:45,IP Address,100,1001,TRUE,20/11/2025 10:45,R_2PXnwvXQOb9hdc0,anonymous,EN,1,67c8c28fccf665e3c35c44ce,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(c) It provides a source of healthy motor neurons for transplantation into the patient.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(d) The strict government regulations that prevent most new drugs from being approved.,"(a) It would eliminate the need for clinical trials, reducing the timeline to under five years.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(c) Can this drug be manufactured cheaply and distributed globally?,(c) They operate under different government regulations than academic labs.,(b) They have difficulty attracting talented young scientists from universities.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(c) Eliminate the need for animal testing in all medical research.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,13,,13,20
20/11/2025 10:31,20/11/2025 10:45,IP Address,100,815,TRUE,20/11/2025 10:45,R_8emnx96Dzs2p0ne,anonymous,EN,1,682b3f63d0e2c4eff64fe664,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(c) It provides a source of healthy motor neurons for transplantation into the patient.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(a) The lack of funding for late-stage clinical trials in human subjects.,"(a) It would eliminate the need for clinical trials, reducing the timeline to under five years.",(d) The drug was likely not tested on embryonic stem cells from that population.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(b) To protect valuable intellectual property from competing pharmaceutical companies.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,15,,15,20
20/11/2025 10:30,20/11/2025 10:46,IP Address,100,958,TRUE,20/11/2025 10:46,R_2f1gucATpyrqKcz,anonymous,EN,0.899999976,600a97750a20c621b3d6d358,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(d) The most effective surgical interventions for treating advanced MND symptoms.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,19,,19,20
20/11/2025 10:34,20/11/2025 10:50,IP Address,100,921,TRUE,20/11/2025 10:50,R_8vGWM4Edxit6dhv,anonymous,EN,1,5f61023f891bb903b975dbee,,,,,,,,,,,,,,,,,,,,,902.378,902.378,905.68,1,0,,0,0
20/11/2025 10:36,20/11/2025 10:51,IP Address,100,914,TRUE,20/11/2025 10:51,R_2FhTvu3nwOfouAM,anonymous,EN,0.899999976,5d542c3a5af5900019bc80c4,,,,,,,,,,,,,,,,,,,,,0,0,900.521,0,0,,0,0
20/11/2025 10:47,20/11/2025 10:52,IP Address,100,277,TRUE,20/11/2025 10:52,R_2d752zFBjVXvSoh,anonymous,EN,1,5970ccd08df9300001dab39d,(a) iPSCs can differentiate into a wider variety of cell types than embryonic stem cells.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(a) The overall impact of MND on a patient's quality of life and mobility.,"(d) Statements 1, 2, 3, and 4",(b) The over-reliance on animal models that do not accurately predict human responses.,"(a) It would eliminate the need for clinical trials, reducing the timeline to under five years.",(d) The drug was likely not tested on embryonic stem cells from that population.,"(b) A single disease, like diabetes, being treated with many different types of drugs.",(a) To ensure a representative model of the human population for drug testing.,(a) Is this drug more effective than a placebo in a double-blind study?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.",(d) It can perfectly reconstruct the damaged tissue after the disease has progressed.,(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,12,,12,20
20/11/2025 10:35,20/11/2025 10:53,IP Address,100,1086,TRUE,20/11/2025 10:53,R_2s517x4b7oPEBHT,anonymous,EN,1,5c88cfc680858000011363df,(d)  iPSCs are simpler and faster to generate in the lab than embryonic stem cells,(b) It confirms that viruses are the only way to induce pluripotency in adult cells.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(a) They have more funding than both universities and pharmaceutical companies combined.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,17,,17,20
20/11/2025 10:38,20/11/2025 10:54,IP Address,100,928,TRUE,20/11/2025 10:54,R_2pKEaCVkHGwBLV7,anonymous,EN,1,59feed1da383a100011b3eaa,,,,,,,,,,,,,,,,,,,,,1.9,904.57,905.742,3,0,,0,0
20/11/2025 10:30,20/11/2025 10:55,IP Address,100,1459,TRUE,20/11/2025 10:55,R_2plxNl86JpkaOE9,anonymous,EN,1,5e35373e1ddb124e6c306747,,,,,,,,,,,,,,,,,,,,,17.416,17.416,1442.733,1,0,,0,0
20/11/2025 10:41,20/11/2025 11:00,IP Address,100,1104,TRUE,20/11/2025 11:00,R_8CQ28FUaPlfmJTH,anonymous,EN,0.899999976,59e7232f24d7bf00012f112e,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(d) It proves that skin cells and motor neurons share the same biological function.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(d) The strict government regulations that prevent most new drugs from being approved.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(d) To allow any person to have their own personal stem cell line for therapy.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,"(c) By creating a new, safer version of Vioxx using genetic engineering.",(a) To prove that the initial arthritis trial results were incorrect.,,,,,15,,15,20
20/11/2025 10:45,20/11/2025 11:00,IP Address,100,920,TRUE,20/11/2025 11:00,R_2QWpbkXEVfpVrqq,anonymous,EN,1,6304db4577830d43f42d4d26,,,,,,,,,,,,,,,,,,,,,0,0,903.333,0,0,,0,0
20/11/2025 10:57,20/11/2025 11:03,IP Address,100,384,TRUE,20/11/2025 11:03,R_2gSpz041cH6Vgf5,anonymous,EN,1,67c5d7d4bfda0ffd6d9a5ef8,(d)  iPSCs are simpler and faster to generate in the lab than embryonic stem cells,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,19,,19,20
20/11/2025 10:48,20/11/2025 11:04,IP Address,100,953,TRUE,20/11/2025 11:04,R_8R3XKYx3xU6vf21,anonymous,EN,1,677723f5cb416c3806aaf069,,,,,,,,,,,,,,,,,,,,,0,0,913.401,0,0,,0,0
20/11/2025 10:55,20/11/2025 11:05,IP Address,100,604,TRUE,20/11/2025 11:05,R_2jAoQhqhrgyS5Al,anonymous,EN,1,5cd310705882710018e544b0,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,20,,20,20
20/11/2025 10:51,20/11/2025 11:07,IP Address,100,1010,TRUE,20/11/2025 11:07,R_8SQ0YXmcqiwtMLn,anonymous,EN,0.899999976,660eb0b257ea5439cd5e020a,,,,,,,,,,,,,,,,,,,,,166.305,166.305,901.423,1,0,,0,0
20/11/2025 11:06,20/11/2025 11:22,IP Address,100,949,TRUE,20/11/2025 11:22,R_8fLgV4VFLHHZa7f,anonymous,EN,0.899999976,55057a56fdf99b5b566a70bb,,,,,,,,,,,,,,,,,,,,,911.46,911.46,915.765,1,0,,0,0
20/11/2025 11:14,20/11/2025 11:23,IP Address,100,546,TRUE,20/11/2025 11:23,R_8aLEhch11ZQdi1W,anonymous,EN,1,5f514593ea1e87365b9cb05f,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(c) It provides a source of healthy motor neurons for transplantation into the patient.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(a) The lack of funding for late-stage clinical trials in human subjects.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(d) The drug was likely not tested on embryonic stem cells from that population.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,17,,17,20
20/11/2025 11:16,20/11/2025 11:32,IP Address,100,936,TRUE,20/11/2025 11:32,R_2meotlk43kQhVL6,anonymous,EN,1,5aead25562ac0e00010974b1,,,,,,,,,,,,,,,,,,,,,0,0,902.585,0,0,,0,0
20/11/2025 11:26,20/11/2025 11:38,IP Address,100,740,TRUE,20/11/2025 11:38,R_8LO9Vk6Qf7aVieJ,anonymous,EN,1,61671a9d42eb53946faa44c2,(a) iPSCs can differentiate into a wider variety of cell types than embryonic stem cells.,(d) It proves that skin cells and motor neurons share the same biological function.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(a) The lack of funding for late-stage clinical trials in human subjects.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(a) They have more funding than both universities and pharmaceutical companies combined.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(d) Manually created cells cannot be differentiated into specific tissue types.,"(a) Automated systems can reprogram cells without using viruses, making them safer.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(d) Confirm that all diseases are caused by multiple cell types.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(a) To conduct research that was considered too dangerous for university labs.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,12,,12,20
20/11/2025 11:23,20/11/2025 11:39,IP Address,100,924,TRUE,20/11/2025 11:39,R_2ktAzT6sPR70tY5,anonymous,EN,1,66854df2e5fef4239ff63a7d,,,,,,,,,,,,,,,,,,,,,899.526,899.895,900.381,2,0,,0,0
20/11/2025 11:25,20/11/2025 11:41,IP Address,100,979,TRUE,20/11/2025 11:41,R_8tu2lp0i4bZXoeG,anonymous,EN,1,5b13da851e55760001ba009a,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(c) It provides a source of healthy motor neurons for transplantation into the patient.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(d) The strict government regulations that prevent most new drugs from being approved.,(d) It would increase the failure rate by revealing more potential side effects.,(d) The drug was likely not tested on embryonic stem cells from that population.,"(b) A single disease, like diabetes, being treated with many different types of drugs.","(c) To prove that all human diseases have a single, common genetic origin.",(a) Is this drug more effective than a placebo in a double-blind study?,(d) They exclusively hire scientists who have worked in both academia and industry.,(b) They have difficulty attracting talented young scientists from universities.,(d) Manually created cells cannot be differentiated into specific tissue types.,"(a) Automated systems can reprogram cells without using viruses, making them safer.",(d) It can perfectly reconstruct the damaged tissue after the disease has progressed.,(c) Eliminate the need for animal testing in all medical research.,(d) To highlight that both fields rely on the same laboratory techniques and equipment.,(c) To advance critical research without political and financial interference.,"(c) By creating a new, safer version of Vioxx using genetic engineering.",(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,5,,5,20
20/11/2025 11:27,20/11/2025 11:43,IP Address,100,959,TRUE,20/11/2025 11:43,R_8Blv4sG3GHAiCYx,anonymous,EN,1,6783ebc2e89b75d66d952f41,,,,,,,,,,,,,,,,,,,,,20.949,746.674,926.668,2,0,,0,0
20/11/2025 11:41,20/11/2025 11:56,IP Address,100,941,TRUE,20/11/2025 11:56,R_8MMZ5cnQTwwnJJ5,anonymous,EN,1,5d0e091ccd9c9300191cb9c9,,,,,,,,,,,,,,,,,,,,,3.322,540.987,911.41,2,0,,0,0
20/11/2025 11:56,20/11/2025 12:11,IP Address,100,919,TRUE,20/11/2025 12:11,R_81cx7CZwW04bz9G,anonymous,EN,1,63af557b3d4f219c3226b7d6,,,,,,,,,,,,,,,,,,,,,14.891,899.85,900.42,3,0,,0,0
20/11/2025 12:04,20/11/2025 12:15,IP Address,100,688,TRUE,20/11/2025 12:15,R_8xmi42TrjOILHHP,anonymous,EN,0.899999976,6637ab2fc7718b737f6c33c0,(b) iPSCs contain the specific genetic makeup of the patient with the heart condition.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,"(b) Statements 1, 2, and 3",(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(d) To allow any person to have their own personal stem cell line for therapy.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,"(c) By creating a new, safer version of Vioxx using genetic engineering.",(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,18,,18,20
20/11/2025 12:04,20/11/2025 12:20,IP Address,100,971,TRUE,20/11/2025 12:20,R_2YlF7WtYVrKPqge,anonymous,EN,1,6053e01a6a8e8516ba7d47a7,,,,,,,,,,,,,,,,,,,,,0,0,907.972,0,0,,0,0
20/11/2025 12:05,20/11/2025 12:20,IP Address,100,932,TRUE,20/11/2025 12:20,R_2HaXV6fDIhcGnL3,anonymous,EN,0.699999988,5a764e848fe2dc000105739c,,,,,,,,,,,,,,,,,,,,,908.641,908.641,910.379,1,0,,0,0
20/11/2025 12:14,20/11/2025 12:23,IP Address,100,525,TRUE,20/11/2025 12:23,R_20i1nVOmV15U9Oy,anonymous,EN,1,5e9593f997af0e19c6073957,(a) iPSCs can differentiate into a wider variety of cell types than embryonic stem cells.,(a) It allows for the creation of motor neurons that are genetically identical to the patient's.,(b) The interaction between motor neurons and other cell types contributing to the disease.,(a) Statements 1 and 2,(b) The over-reliance on animal models that do not accurately predict human responses.,"(b) It would identify failing drugs earlier, reducing the $4 billion sunk cost per success.",(b) The drug's efficacy and safety could vary due to the patient's different genetic makeup.,(a) A drug being effective for one person but causing harmful side effects in another.,(a) To ensure a representative model of the human population for drug testing.,(b) Does this drug cause liver damage in individuals with a specific genetic marker?,(b) They are less constrained by the profit motives and bureaucracy of large organizations.,(c) Their established structures may prevent them from adapting quickly or asking novel questions.,(a) The process is not scalable and introduces variability between cell lines.,"(c) Manual creation would be too slow and inconsistent to produce reliable, comparable lines at scale.","(a) It provides a recording of the events leading up to the ""crash"" or disease state.",(b) Reveal the fundamental cellular interactions underlying a disease.,(a) To suggest that stem cell research will eventually become a routine and accepted medical tool.,(c) To advance critical research without political and financial interference.,(a) By allowing the drug to be tested on diverse cardiac cells before human trials.,(b) To re-screen the drug on diverse liver cell models for a potential new use.,,,,,18,,18,20
